id,type,name,summary,description,stageIds,lat,lng,googleMapsUrl,tags,status,confidence
caldes-de-malavella-la-gata-maula,bar,La Gata Maula Vermuteria,Women-run vermouth bar and tapas in Caldes de Malavella,Charming vermuteria on Carrer Major run by Gemma and Joana — wide vermouth selection with homemade tapas and a terrace; about 20 min drive south of Girona,trip-jul-01|trip-jul-02|trip-jul-03,41.8433,2.7698,https://www.google.com/maps/search/?api=1&query=La+Gata+Maula+Vermuteria+Caldes+de+Malavella,girona|bar|vermouth|tapas|women-owned|day-trip,candidate,high
girona-espresso-mafia,coffee,Espresso Mafia,Specialty coffee roaster in Girona old town,Best match for a serious coffee stop near Casa Cacao and directly in the La Fabrica coffee orbit,trip-jul-01|trip-jul-02|trip-jul-03,41.9860,2.8247,https://www.google.com/maps/search/?api=1&query=Espresso+Mafia+Girona,girona|coffee|specialty|walkable,candidate,high
girona-la-fabrica,coffee,La Fàbrica Girona,Cyclist friendly specialty café,Great breakfast and cycling café vibe with the exact style reference you already like,trip-jul-01|trip-jul-02|trip-jul-03,41.9866,2.8264,https://www.google.com/maps/search/?api=1&query=La+Fabrica+Girona,girona|coffee|specialty|cycling|breakfast,candidate,high
girona-hors-categorie,coffee,Hors Catégorie,Cycling culture café and shop,Good backup for bike culture vibes though less of a pure specialty coffee priority than Espresso Mafia or La Fàbrica,trip-jul-01|trip-jul-02|trip-jul-03,41.9860,2.8260,https://www.google.com/maps/search/?api=1&query=Hors+Categorie+Girona,girona|coffee|cycling,candidate,medium
girona-la-carpa,shopping,La Carpa,Beloved toy store in Girona old town,Personal favourite toy store on Carrer de les Hortes — already flagged in the Jul 2 shopping block,trip-jul-01|trip-jul-02|trip-jul-03,41.9863,2.8251,https://www.google.com/maps/search/?api=1&query=La+Carpa+Girona,girona|shopping|toys|old-town,candidate,high
barcelona-nomad-passatge-sert,coffee,Nomad Coffee Passatge Sert,Top specialty coffee near Yurbban Passage,Probably the best first coffee stop from the hotel with serious third wave coffee and easy access,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3898,2.1784,https://www.google.com/maps/search/?api=1&query=Nomad+Coffee+Passatge+Sert+Barcelona,barcelona|coffee|specialty|walkable,candidate,high
barcelona-tostao-casa-bonay,coffee,TosTao Casa Bonay,Stylish hotel café near Yurbban Passage,Good polished café option with a nicer setting and easy walk from the hotel,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3914,2.1749,https://www.google.com/maps/search/?api=1&query=TosTao+Casa+Bonay+Barcelona,barcelona|coffee|stylish|walkable,candidate,medium
barcelona-three-marks,coffee,Three Marks Coffee,Excellent roaster café in Eixample,Best as a short destination walk when you want a more coffee nerd focused stop,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3969,2.1836,https://www.google.com/maps/search/?api=1&query=Three+Marks+Coffee+Barcelona,barcelona|coffee|specialty|roaster,candidate,medium
barcelona-petit-nomad,coffee,Petit Nomad,Compact Nomad stop near Plaça Catalunya,Useful if walking toward Plaça Catalunya or the central shopping area,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3868,2.1699,https://www.google.com/maps/search/?api=1&query=Petit+Nomad+Barcelona,barcelona|coffee|specialty|central,candidate,medium
barcelona-satans-coffee-corner,coffee,Satan's Coffee Corner,Barcelona specialty coffee classic,Iconic third wave option but check current location fit before prioritizing over Nomad,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3833,2.1743,https://www.google.com/maps/search/?api=1&query=Satan%27s+Coffee+Corner+Barcelona,barcelona|coffee|specialty,candidate,medium
puigcerda-nordest-cafe,coffee,Nordest Cafè,Best modern café candidate in Puigcerdà,Closest fit for a nicer café stop in Puigcerdà with brunch and coffee positioning,trip-jul-06|trip-jul-07,42.4320,1.9277,https://www.google.com/maps/search/?api=1&query=Nordest+Cafe+Puigcerda,puigcerda|coffee|brunch,candidate,medium
puigcerda-cafe-del-llac,coffee,Café del Llac,Convenient lake side coffee option,Practical choice near Hotel Villa Paulita for an easy morning coffee by the lake,trip-jul-06|trip-jul-07,42.4330,1.9262,https://www.google.com/maps/search/?api=1&query=Cafe+del+Llac+Puigcerda,puigcerda|coffee|lake|walkable,candidate,medium
puigcerda-pastisseria-gil,coffee,Pastisseria Gil,Pastry and breakfast backup,Better as a bakery stop than a specialty coffee destination,trip-jul-06|trip-jul-07,42.4325,1.9287,https://www.google.com/maps/search/?api=1&query=Pastisseria+Gil+Puigcerda,puigcerda|coffee|bakery|breakfast,candidate,medium
arreau-cafe-de-londres,coffee,Café de Londres,Local Arreau café fallback,Use as the simple town café option before or after Pyrenees rides,trip-jul-07|trip-jul-08|trip-jul-09|trip-jul-10,42.9043,0.3608,https://www.google.com/maps/search/?api=1&query=Cafe+de+Londres+Arreau,arreau|coffee|local|walkable,candidate,medium
arreau-boulangerie-grange,coffee,Boulangerie Grange,Practical pastry and espresso stop,Good enough pre ride option when coffee quality matters less than convenience,trip-jul-07|trip-jul-08|trip-jul-09|trip-jul-10,42.9048,0.3607,https://www.google.com/maps/search/?api=1&query=Boulangerie+Grange+Arreau,arreau|coffee|bakery|breakfast,candidate,low
saint-lary-mumu-ursus-coffee,coffee,Mumu Ursus Coffee Shop,More modern valley coffee option,Better café vibe than Arreau proper but requires a short drive toward Saint-Lary-Soulan,trip-jul-07|trip-jul-08|trip-jul-09|trip-jul-10,42.8170,0.3220,https://www.google.com/maps/search/?api=1&query=Mumu+Ursus+Coffee+Shop+Saint+Lary+Soulan,arreau|saint-lary|coffee|brunch,candidate,low
bordeaux-lalchimiste,coffee,L'Alchimiste,Top Bordeaux specialty coffee pick,Best match for fancier serious coffee near the center and worth prioritizing,trip-jul-10|trip-jul-11|trip-jul-12|trip-jul-13,44.8424,-0.5754,https://www.google.com/maps/search/?api=1&query=L%27Alchimiste+Bordeaux,bordeaux|coffee|specialty|roaster,candidate,high
bordeaux-kuro-espresso-bar,coffee,KURO Espresso Bar,Central specialty espresso bar,Good quick serious coffee stop while moving around central Bordeaux,trip-jul-10|trip-jul-11|trip-jul-12|trip-jul-13,44.8400,-0.5767,https://www.google.com/maps/search/?api=1&query=KURO+Espresso+Bar+Bordeaux,bordeaux|coffee|specialty|central,candidate,medium
bordeaux-cafe-piha,coffee,Café Piha,Cozy artisan coffee and pastry stop,Good relaxed café option near the historic center,trip-jul-10|trip-jul-11|trip-jul-12|trip-jul-13,44.8388,-0.5744,https://www.google.com/maps/search/?api=1&query=Cafe+Piha+Bordeaux,bordeaux|coffee|specialty|pastry,candidate,medium
bordeaux-black-list-cafe,coffee,Black List Café,Central brunch and coffee backup,Useful near Place Pey Berland when sightseeing or shopping,trip-jul-10|trip-jul-11|trip-jul-12|trip-jul-13,44.8378,-0.5770,https://www.google.com/maps/search/?api=1&query=Black+List+Cafe+Bordeaux,bordeaux|coffee|brunch|central,candidate,medium
paris-cafe-nuances-marais,coffee,Café Nuances Marais,Design forward specialty café in the Marais,Probably the best match for fancier coffee shop near Grand Hôtel Malher,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8579,2.3603,https://www.google.com/maps/search/?api=1&query=Cafe+Nuances+Marais+Paris,paris|marais|coffee|specialty|design,candidate,high
paris-partisan,coffee,Partisan,Polished Marais specialty café,Good sit down option with a modern atmosphere and strong neighborhood fit,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8620,2.3567,https://www.google.com/maps/search/?api=1&query=Partisan+Cafe+Paris,paris|marais|coffee|specialty,candidate,medium
paris-fragments,coffee,Fragments,Classic Marais specialty coffee stop,Strong neighborhood coffee option that is easy to combine with wandering the Marais,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8570,2.3656,https://www.google.com/maps/search/?api=1&query=Fragments+Paris,paris|marais|coffee|specialty,candidate,medium
paris-ob-la-di,coffee,Ob-La-Di,Tiny stylish Marais café,Good quick stop for coffee and light breakfast in a polished small space,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8613,2.3634,https://www.google.com/maps/search/?api=1&query=Ob-La-Di+Paris,paris|marais|coffee|breakfast,candidate,medium
paris-boot-cafe,coffee,Boot Café,Tiny iconic Paris coffee stop,Best as a quick espresso stop rather than a long sit down café,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8619,2.3615,https://www.google.com/maps/search/?api=1&query=Boot+Cafe+Paris,paris|marais|coffee|iconic,candidate,medium
paris-loustic,coffee,Loustic,Marais specialty coffee backup,Useful if walking north of the hotel toward the Haut Marais,trip-jul-13|trip-jul-14|trip-jul-15|trip-jul-16|trip-jul-17|trip-jul-18|trip-jul-19,48.8630,2.3573,https://www.google.com/maps/search/?api=1&query=Cafe+Loustic+Paris,paris|marais|coffee|specialty,candidate,medium
paris-galeries-lafayette-haussmann,shopping,Galeries Lafayette Haussmann,Paris department store option for the final full day,Classic grand magasin stop for a flexible Paris shopping block,trip-jul-18,48.873800,2.332000,https://www.google.com/maps/search/?api=1&query=Galeries%20Lafayette%20Haussmann%20Paris,paris|shopping|department-store,candidate,high
paris-le-bon-marche,shopping,Le Bon Marché,Left Bank department store option for the final full day,Flexible Paris shopping stop on the Left Bank,trip-jul-18,48.851204,2.324485,https://www.google.com/maps/search/?api=1&query=Le%20Bon%20Marche%20Paris,paris|shopping|department-store|left-bank,candidate,high
paris-hermes-faubourg-saint-honore,shopping,Hermès Faubourg Saint-Honoré,Leather appointment attempt option in Paris,Try for a Hermès leather appointment around Rue du Faubourg Saint-Honoré / 24 FBG if desired,trip-jul-18,48.868581,2.320732,https://www.google.com/maps/search/?api=1&query=Hermes%20Paris%2024%20Faubourg%20Saint-Honore,paris|shopping|luxury|appointment,candidate,medium
paris-louis-vuitton-maison-vendome,shopping,Louis Vuitton Maison Vendôme,Optional luxury shopping stop in Paris,Optional luxury shopping idea at Louis Vuitton Maison Vendôme,trip-jul-18,48.866675,2.328884,https://www.google.com/maps/search/?api=1&query=Louis%20Vuitton%20Maison%20Vendome%20Paris,paris|shopping|luxury|vendome,candidate,medium
barcelona-raima,shopping,Raima,Europe's largest paper and art supply store with rooftop vermouth bar,Six-floor art supply and stationery store in an 18th-century Gothic Quarter building; rooftop Nimura bar has terrace views — very close to Yurbban Passage on Carrer de Trafalgar,trip-jul-03|trip-jul-04|trip-jul-05|trip-jul-06,41.3855,2.1728,https://www.google.com/maps/search/?api=1&query=Raima+Carrer+Comtal+27+Barcelona,barcelona|shopping|art-supplies|stationery|gothic-quarter|rooftop|walkable,candidate,high
barcelona-tdf-fan-park,general_place,TDF Fan Park — Passeig de Lluís Companys,Official Tour de France fan park on the boulevard next to the hotel,Free fan park on Passeig de Lluís Companys (Arc de Triomf area) open July 2–5 from 10am–8pm; giant screens show every stage live plus cycling activities and sponsor spaces. The Stage 1 TTT also passes through here — essentially on the hotel's doorstep.,trip-jul-04|trip-jul-05,41.3910,2.1807,https://www.google.com/maps/search/?api=1&query=Passeig+de+Lluis+Companys+Barcelona,barcelona|fan-zone|tdf|free|race-viewing|walkable,candidate,high
